parameter,value,monthly_revenue,monthly_profit,active_traders,active_projects,break_even_month
monthly_user_growth_rate,0.05,2000.0,-29100.0,8486.0,1.0,
monthly_user_growth_rate,0.1,12000.0,-24600.0,24018.0,2.0,
monthly_user_growth_rate,0.15,2000.0,-29100.0,59980.0,1.0,
monthly_user_growth_rate,0.2,2000.0,-29100.0,162447.0,1.0,
monthly_user_growth_rate,0.25,5000.0,-27750.0,395364.0,1.0,
user_churn_rate,0.02,5000.0,-27750.0,127472.0,1.0,
user_churn_rate,0.05,0.0,-30000.0,62702.0,0.0,
user_churn_rate,0.08,7000.0,-26850.0,29827.0,2.0,
user_churn_rate,0.1,0.0,-30000.0,17272.0,0.0,
user_churn_rate,0.15,8000.0,-26400.0,4497.0,4.0,
reward_pool_allocation,0.2,5000.0,-26750.0,62777.0,1.0,
reward_pool_allocation,0.3,0.0,-30000.0,61956.0,0.0,
reward_pool_allocation,0.4,2000.0,-29100.0,63041.0,1.0,
reward_pool_allocation,0.5,14000.0,-25100.0,63028.0,3.0,
reward_pool_allocation,0.6,0.0,-30000.0,61548.0,0.0,
marketing_cost_percentage,0.05,7000.0,-26150.0,61012.0,2.0,
marketing_cost_percentage,0.1,4000.0,-28000.0,62100.0,2.0,
marketing_cost_percentage,0.15,14000.0,-23700.0,62860.0,4.0,
marketing_cost_percentage,0.2,2000.0,-29200.0,64623.0,1.0,
marketing_cost_percentage,0.25,0.0,-30000.0,62896.0,0.0,
